property,range
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_raummenge_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/relation/raum_raumsonstiges_contains,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/entity
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus,http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/thesaurus_term
http://realonline.imareal.sbg.ac.at/rdf/v1/ontology/workreference,http://www.w3.org/2001/XMLSchema#string
http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#List
http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#Literal
http://www.w3.org/2000/01/rdf-schema#domain,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#Literal
http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#Class
http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#Class
